timestamp,BTCUSDT_open,BTCUSDT_high,BTCUSDT_low,BTCUSDT_close,BTCUSDT_volume,XRPUSDT_open,XRPUSDT_high,XRPUSDT_low,XRPUSDT_close,XRPUSDT_volume,ETHUSDT_open,ETHUSDT_high,ETHUSDT_low,ETHUSDT_close,ETHUSDT_volume,SOLUSDT_open,SOLUSDT_high,SOLUSDT_low,SOLUSDT_close,SOLUSDT_volume,DOGEUSDT_open,DOGEUSDT_high,DOGEUSDT_low,DOGEUSDT_close,DOGEUSDT_volume,ADAUSDT_open,ADAUSDT_high,ADAUSDT_low,ADAUSDT_close,ADAUSDT_volume,SHIBUSDT_open,SHIBUSDT_high,SHIBUSDT_low,SHIBUSDT_close,SHIBUSDT_volume,DOTUSDT_open,DOTUSDT_high,DOTUSDT_low,DOTUSDT_close,DOTUSDT_volume,BTTUSDT_open,BTTUSDT_high,BTTUSDT_low,BTTUSDT_close,BTTUSDT_volume,LINKUSDT_open,LINKUSDT_high,LINKUSDT_low,LINKUSDT_close,LINKUSDT_volume,ALGOUSDT_open,ALGOUSDT_high,ALGOUSDT_low,ALGOUSDT_close,ALGOUSDT_volume,AVAXUSDT_open,AVAXUSDT_high,AVAXUSDT_low,AVAXUSDT_close,AVAXUSDT_volume
2025-02-11,97430.82,98478.42,94876.88,95778.2,18647.76379,2.4238,2.529,2.3708,2.4131,248182176.0,2661.19,2725.04,2558.24,2602.59,484196.1435,200.47,206.18,195.12,197.96,3930238.335,0.25541,0.27034,0.24839,0.25305,1078655896.0,0.7121,0.8213,0.7101,0.7781,364029512.7,1.58e-05,1.65e-05,1.544e-05,1.569e-05,2523764521837.0,4.846,5.21,4.749,4.809,9664290.61,,,,,,18.8,19.79,18.22,18.66,4263524.03,0.2902,0.3136,0.2824,0.286,79496467.0,25.66,27.02,24.88,25.39,2096874.29
2025-02-12,95778.21,98119.99,94088.23,97869.99,29151.16625,2.413,2.4962,2.3323,2.4734,227957636.0,2602.59,2795.45,2546.92,2738.27,646295.8959,197.95,198.56,188.48,196.78,3898533.321,0.25305,0.26734,0.24661,0.26418,1235432211.0,0.7782,0.8079,0.7448,0.7997,271335009.3,1.569e-05,1.734e-05,1.548e-05,1.7e-05,5012643490904.0,4.809,5.332,4.752,5.227,15217967.69,,,,,,18.65,19.51,17.64,19.2,5633560.52,0.286,0.3056,0.2757,0.3025,114767672.0,25.39,27.09,24.29,26.49,2870270.45
2025-02-13,97870.0,98083.91,95217.36,96608.14,19921.77616,2.4734,2.6061,2.4154,2.5599,212478703.0,2738.27,2757.28,2612.76,2675.87,443769.2853,196.78,198.47,188.78,194.25,2427771.876,0.26419,0.26718,0.25333,0.26245,899065089.0,0.7998,0.8309,0.7693,0.8107,148408733.0,1.7e-05,1.704e-05,1.592e-05,1.629e-05,2474925503348.0,5.228,5.277,5.067,5.131,6378691.02,,,,,,19.2,19.34,18.18,18.56,2549414.88,0.3025,0.3075,0.285,0.2934,72606163.0,26.5,26.62,25.09,25.39,1590769.95
2025-02-14,96608.13,98826.0,96252.82,97500.48,18173.02646,2.56,2.8356,2.53,2.7384,407541122.0,2675.87,2791.78,2664.46,2725.95,419895.7862,194.24,205.34,194.11,199.39,3727686.063,0.26245,0.28676,0.26078,0.2718,1492854024.0,0.8107,0.8293,0.7891,0.7998,144880343.5,1.63e-05,1.719e-05,1.618e-05,1.672e-05,2642705376276.0,5.132,5.378,5.1,5.17,6591725.25,,,,,,18.56,19.84,18.45,19.38,3273627.94,0.2935,0.3088,0.2904,0.2964,72905391.0,25.4,27.23,25.3,26.39,1934433.81
2025-02-15,97500.47,97972.26,97223.58,97569.66,7349.37683,2.7384,2.8335,2.713,2.7619,184181907.0,2725.95,2739.0,2662.28,2693.04,202971.4295,199.4,200.27,192.61,194.48,1633300.399,0.2718,0.28328,0.26823,0.27174,960758429.0,0.7997,0.8141,0.7745,0.7811,72649439.8,1.672e-05,1.703e-05,1.623e-05,1.632e-05,1464264779379.0,5.17,5.22,4.976,5.022,4188333.3,,,,,,19.39,19.67,18.73,18.99,1679060.06,0.2964,0.3029,0.281,0.2843,40556853.0,26.38,26.97,25.38,25.48,880943.46
2025-02-16,97569.67,97704.47,96046.18,96118.12,8191.4249,2.7619,2.8054,2.6879,2.7283,132387997.0,2693.04,2727.31,2651.26,2661.41,191231.5314,194.47,196.24,186.3,188.27,2009380.862,0.27174,0.2742,0.26346,0.26555,509986721.0,0.7811,0.7893,0.7615,0.7714,62651373.5,1.633e-05,1.64e-05,1.583e-05,1.596e-05,1123582763290.0,5.022,5.047,4.826,4.88,3661323.85,,,,,,19.0,19.26,18.56,18.69,1828935.06,0.2844,0.2855,0.2732,0.2751,35680141.0,25.49,25.59,24.74,24.85,1050638.52
2025-02-17,96118.12,97046.59,95205.0,95780.0,16492.0451,2.7283,2.7648,2.6075,2.6599,212813356.0,2661.41,2849.7,2637.71,2744.05,639739.8197,188.26,189.72,174.63,177.53,4287573.73,0.26555,0.26885,0.25369,0.25819,800682158.0,0.7714,0.8291,0.7705,0.8089,193681003.3,1.597e-05,1.629e-05,1.537e-05,1.575e-05,2010712116953.0,4.88,5.07,4.776,4.89,6062988.09,,,,,,18.7,19.8,18.36,19.12,3643081.5,0.2752,0.2839,0.2658,0.2701,47330609.0,24.86,25.95,24.43,25.03,1756982.01
2025-02-18,95780.01,96753.91,93388.09,95671.74,23368.19471,2.6599,2.6699,2.4693,2.5628,227170019.0,2744.05,2756.93,2605.44,2671.99,604863.8737,177.53,179.09,160.88,169.32,6319186.166,0.25819,0.25987,0.24214,0.25137,904147379.0,0.8089,0.814,0.7351,0.7541,173068755.8,1.575e-05,1.58e-05,1.487e-05,1.523e-05,1820336262140.0,4.89,4.918,4.56,4.769,7479844.27,,,,,,19.12,19.2,17.28,17.88,4505341.14,0.2701,0.272,0.2448,0.2575,66662228.0,25.04,25.12,22.93,23.52,2182686.86
2025-02-19,95671.74,96899.99,95029.99,96644.37,16438.50954,2.5629,2.747,2.5121,2.7378,208222691.0,2672.0,2736.7,2656.03,2715.5,326154.0202,169.32,174.3,163.75,168.93,3478319.262,0.25137,0.2555,0.2489,0.2548,540323612.0,0.7542,0.7761,0.7328,0.7738,118560241.8,1.523e-05,1.554e-05,1.505e-05,1.541e-05,1065344205286.0,4.77,4.908,4.699,4.886,4658637.52,,,,,,17.88,18.21,17.44,17.98,2675151.19,0.2575,0.2645,0.2517,0.2614,34568281.0,23.53,24.02,22.98,23.74,1684111.7
2025-02-20,96644.37,98711.36,96415.09,98305.0,17057.39177,2.7378,2.749,2.6671,2.6877,161213675.0,2715.51,2770.59,2707.18,2738.04,336735.2544,168.94,176.65,167.66,176.0,2938753.335,0.2548,0.25758,0.24988,0.25474,679347075.0,0.7737,0.8111,0.7703,0.8036,123013598.3,1.542e-05,1.562e-05,1.529e-05,1.554e-05,1070498362866.0,4.886,5.069,4.881,5.047,6201014.48,,,,,,17.98,18.48,17.81,18.28,2731996.9,0.2614,0.2723,0.26,0.2711,52872341.0,23.73,25.35,23.72,25.15,2019666.25
